item_fat_content,item_identifier,item_type,outlet_establishment_year,outlet_identifier,outlet_location_type,outlet_size,outlet_type,item_visibility,item_weight,sales,rating
Low Fat,NCB06,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.0823,17.60,160.49,4.3
Low Fat,NCQ53,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.0189,17.60,236.26,4.3
Low Fat,NCW53,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.0305,18.35,191.32,4.3
Low Fat,NCZ30,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.0262,6.59,121.51,4.3
Low Fat,NCA29,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.0273,10.50,170.91,4.3
Low Fat,NCN26,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.0000,10.85,119.08,4.3
Low Fat,NCJ18,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.1638,12.35,117.61,4.3
Low Fat,NCS18,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.0422,12.65,106.49,4.3
Low Fat,NCG06,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.0294,16.35,256.96,4.3
Low Fat,NCX30,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.0266,16.70,245.88,4.3
Low Fat,NCT06,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.0387,17.10,165.08,4.3
Low Fat,NCF18,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.0889,18.35,192.85,4.3
Low Fat,NCB18,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.0413,19.60,88.85,4.3
Low Fat,NCJ06,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.0346,20.10,118.98,4.3
Low Fat,NCA06,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.1432,20.50,34.92,4.3
Low Fat,NCE42,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.0106,21.10,234.30,4.3
Low Fat,NCP55,Others,2014,OUT013,Tier 3,High,Supermarket Type1,0.0112,14.65,53.86,4.3
Low Fat,FDI57,Seafood,2014,OUT013,Tier 3,High,Supermarket Type1,0.0540,19.85,196.88,4.3
Low Fat,FDZ33,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.1073,10.20,149.81,4.3
Low Fat,FDT45,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.0000,15.85,55.20,4.3
Low Fat,FDV46,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.0126,18.20,141.22,4.3
Low Fat,FDM10,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.0759,18.25,213.42,4.3
Low Fat,DRD37,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.0138,9.80,45.31,4.3
Low Fat,DRG01,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.0448,14.80,78.37,4.3
Low Fat,FDF35,Starchy Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.1539,15.00,108.59,4.3
Regular,FDT12,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.0496,6.22,227.41,4.3
Regular,FDZ59,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.1039,6.63,166.85,4.3
Regular,FDY11,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.0295,6.71,67.51,4.3
Regular,FDI48,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.0557,11.85,50.57,4.3
Regular,FDY47,Breads,2014,OUT013,Tier 3,High,Supermarket Type1,0.0544,8.60,128.83,4.3
Regular,FDR59,Breads,2014,OUT013,Tier 3,High,Supermarket Type1,0.0638,14.50,263.26,4.3
Regular,FDY01,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.1701,11.80,116.78,4.3
Regular,FDV04,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.1499,7.83,159.03,4.3
Regular,FDR52,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.0760,12.65,192.38,4.3
Regular,FDH17,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.0166,16.20,95.87,4.3
Regular,FDE17,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.0544,20.10,151.34,4.3
Regular,FDA07,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.0309,7.55,123.91,4.3
Regular,FDE20,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.0055,11.35,168.28,4.3
Regular,FDK20,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.0415,12.60,124.31,4.3
Regular,FDA55,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.0569,17.20,222.51,4.3
Regular,FDW07,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.1426,18.00,88.25,4.3
Regular,FDW32,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.0942,18.35,83.99,4.3
Regular,FDC08,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.1034,19.00,226.17,4.3
Regular,FDM51,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,0.0259,11.80,102.47,4.3
Regular,FDR27,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,0.0960,15.10,133.79,4.3
Regular,FDJ10,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.1294,5.10,140.38,4.3
Regular,FDK10,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.0403,5.79,180.47,4.3
Regular,FDL57,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.0670,15.10,260.33,4.3
Regular,FDN34,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.0000,15.60,170.61,4.3
Regular,FDC34,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.1726,16.00,154.60,4.3
Regular,DRB13,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.0070,6.12,189.25,4.3
Regular,DRZ11,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.1126,8.85,122.04,4.3
Regular,DRL01,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.0771,19.50,232.90,4.3
Low Fat,FDN09,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0350,14.15,245.38,4.3
Low Fat,DRD25,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0793,6.14,111.29,4.3
Low Fat,FDH48,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0000,13.50,84.55,4.3
Low Fat,FDL36,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0764,15.10,88.48,4.3
Low Fat,FDZ48,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0763,17.75,113.15,4.3
Low Fat,FDO60,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0000,20.00,43.41,4.3
Low Fat,FDK38,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0535,6.65,150.07,4.3
Low Fat,DRG27,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0000,8.90,42.01,4.3
Low Fat,DRF27,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0285,8.93,151.43,4.3
Low Fat,FDB15,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.1374,10.90,264.36,4.3
Low Fat,DRE03,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0243,19.60,48.57,4.3
Low Fat,FDL16,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.1691,12.85,46.41,4.3
Low Fat,FDF05,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0270,17.50,262.59,4.3
Low Fat,FDB21,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.1491,7.48,241.69,4.3
Low Fat,FDD09,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0216,13.50,179.60,4.3
Low Fat,FDG57,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0726,14.70,48.50,4.3
Low Fat,FDX19,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0971,19.10,234.50,4.3
Low Fat,DRQ35,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0425,9.30,121.94,4.3
Low Fat,NCP29,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.1127,8.42,65.82,4.3
Low Fat,NCR53,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0000,12.15,224.44,4.3
Low Fat,NCQ53,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0190,17.60,237.06,4.3
Low Fat,NCT42,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0250,5.88,150.34,4.3
Low Fat,NCT30,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0806,9.10,47.47,4.3
Low Fat,NCI06,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0479,11.30,179.87,4.3
Low Fat,NCK30,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0612,14.85,253.07,4.3
Low Fat,NCW06,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0505,16.20,191.62,4.3
Low Fat,NCI42,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0104,18.75,209.50,4.3
Low Fat,NCV30,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0662,20.20,61.45,4.3
Low Fat,NCP06,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0394,20.70,149.84,4.3
Low Fat,FDN15,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0168,17.50,138.52,4.3
Low Fat,NCN19,Others,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0121,13.10,191.35,4.3
Low Fat,FDX21,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0853,7.05,107.49,4.3
Low Fat,FDT58,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0863,9.00,168.08,4.3
Low Fat,FDT22,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.1126,10.40,59.02,4.3
Low Fat,FDY45,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0262,17.50,255.14,4.3
Low Fat,FDU34,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0755,18.25,123.10,4.3
Low Fat,FDN21,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0772,18.60,160.62,4.3
Low Fat,FDO58,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0397,19.60,163.75,4.3
Low Fat,DRG49,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0677,7.81,242.65,4.3
Low Fat,DRE48,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0174,8.43,196.08,4.3
Low Fat,DRI49,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.1843,14.15,82.43,4.3
Low Fat,DRD13,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0493,15.00,65.72,4.3
Low Fat,DRI37,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.1080,15.85,57.39,4.3
Low Fat,DRG13,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0373,17.25,163.75,4.3
Regular,FDX48,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0380,17.75,154.27,4.3
Regular,FDX47,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0347,6.55,158.83,4.3
Regular,FDL13,Breakfast,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0565,13.85,232.73,4.3
Regular,FDA37,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0555,7.81,122.60,4.3
Regular,FDP13,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.1349,8.10,41.95,4.3
Regular,FDQ25,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0284,8.63,173.94,4.3
Regular,FDE14,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0316,13.65,99.47,4.3
Regular,FDA01,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0546,15.00,59.49,4.3
Regular,FDW38,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.1392,5.33,53.03,4.3
Regular,FDJ03,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0727,12.35,48.77,4.3
Regular,FDK03,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0742,12.60,255.94,4.3
Regular,FDC40,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0653,16.00,78.50,4.3
Regular,FDT26,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0682,18.85,121.04,4.3
Regular,FDM16,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0337,8.16,76.24,4.3
Regular,FDH05,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0913,14.35,232.70,4.3
Regular,FDO31,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0291,6.76,80.70,4.3
Regular,FDN08,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0000,7.72,117.75,4.3
Regular,FDC33,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0692,8.96,196.58,4.3
Regular,FDO08,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0000,11.10,165.55,4.3
Regular,FDW19,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0387,12.35,110.26,4.3
Regular,FDY20,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0821,12.50,92.25,4.3
Regular,FDV19,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0354,14.85,161.96,4.3
Regular,FDF45,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0123,18.20,59.99,4.3
Regular,FDQ27,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0444,5.19,102.90,4.3
Regular,FDY39,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0472,5.31,181.96,4.3
Regular,FDM27,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.1591,12.35,158.19,4.3
Regular,FDU51,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0969,20.20,175.50,4.3
Regular,FDS45,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0296,5.18,107.76,4.3
Regular,FDK10,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0405,5.79,177.87,4.3
Regular,FDO46,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0143,9.60,187.39,4.3
Regular,FDL57,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0674,15.10,257.33,4.3
Regular,FDS46,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0474,17.60,118.18,4.3
Regular,DRC13,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0326,8.26,125.07,4.3
Regular,FDE23,Starchy Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0534,17.60,46.71,4.3
low fat,DRJ01,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.1155,6.14,161.12,4.3
Regular,FDA04,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0670,11.30,259.20,4.3
Regular,FDS31,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0444,13.10,180.33,4.3
Low Fat,FDF32,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.0680,16.35,196.44,4.2
Regular,FDN22,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.1382,18.85,250.87,4.2
Low Fat,NCS17,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0808,18.60,96.44,4.2
Low Fat,FDK43,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,0.0268,9.80,126.00,4.2
Low Fat,FDM40,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.1598,10.20,141.52,4.2
Regular,FDN33,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.1231,6.31,95.64,4.2
Low Fat,DRJ13,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0630,12.65,159.06,4.2
Low Fat,DRI49,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.1835,14.15,82.43,4.2
Low Fat,FDS52,Frozen Foods,2011,OUT010,Tier 3,Small,Grocery Store,0.0092,8.89,101.70,4.2
Low Fat,NCX54,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0483,9.20,105.16,4.2
Regular,FDI16,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.0000,14.00,53.06,4.2
Regular,FDM22,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.0419,14.00,54.76,4.2
Regular,FDK58,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0452,11.35,100.00,4.2
Regular,FDA08,Fruits and Vegetables,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0502,11.85,164.15,4.2
Low Fat,DRC27,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.0581,13.80,245.18,4.2
Regular,FDL58,Snack Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0000,5.78,263.76,4.2
Low Fat,DRJ51,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.0880,14.10,229.07,4.2
Regular,FDY03,Meat,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0763,17.60,110.92,4.2
Low Fat,FDG29,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.0562,17.60,43.35,4.2
Low Fat,DRP47,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.1414,15.75,250.54,4.2
Low Fat,FDB53,Frozen Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.1397,13.35,147.54,4.2
Regular,FDM01,Breakfast,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0951,7.90,104.43,4.2
Regular,FDR59,Breads,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0640,14.50,260.46,4.2
Low Fat,FDH27,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0583,7.08,142.21,4.2
Regular,FDF11,Starchy Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.0176,10.20,239.65,4.2
Low Fat,FDZ27,Dairy,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0172,7.94,51.54,4.2
Regular,FDL51,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0476,20.70,213.49,4.2
Low Fat,FDX08,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0226,12.85,181.43,4.2
Low Fat,DRH15,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.0000,8.78,45.94,4.2
Regular,FDT09,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0123,15.15,132.53,4.2
Low Fat,FDK41,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.1275,14.30,84.92,4.2
Low Fat,FDN09,Snack Foods,2011,OUT010,Tier 3,Small,Grocery Store,0.0584,14.15,243.98,4.2
Low Fat,FDK24,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0000,9.20,43.67,4.2
Regular,FDW31,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0433,11.35,201.07,4.2
Regular,FDL48,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.0822,19.35,49.20,4.2
Regular,FDW44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0352,9.50,171.34,4.2
Low Fat,NCU41,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0521,18.85,189.18,4.2
Low Fat,FDB21,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.1485,7.48,240.69,4.2
Low Fat,NCJ42,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0143,19.75,103.03,4.2
Low Fat,FDJ08,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.1113,11.10,191.78,4.2
Low Fat,FDB16,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0450,8.21,89.22,4.2
Regular,FDJ55,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0236,12.80,226.84,4.2
Low Fat,FDM14,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0133,13.80,106.93,4.2
Low Fat,FDA23,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0472,9.80,100.60,4.2
Low Fat,FDW49,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0826,19.50,179.80,4.2
Low Fat,DRK23,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0721,8.40,253.70,4.2
Low Fat,DRK39,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.0498,7.02,82.23,4.2
Low Fat,FDM52,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0260,15.10,147.21,4.2
Low Fat,FDH58,Snack Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0370,12.30,115.18,4.2
Low Fat,FDF46,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.0937,7.07,113.38,4.2
Low Fat,NCO54,Household,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0143,19.50,57.26,4.2
Low Fat,NCR17,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0245,9.80,116.25,4.2
Regular,FDJ03,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.0723,12.35,49.17,4.2
Low Fat,NCK42,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0131,7.48,217.62,4.2
Low Fat,DRK12,Soft Drinks,2011,OUT010,Tier 3,Medium,Grocery Store,0.0000,9.50,32.89,4.2
Low Fat,NCR30,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0713,20.60,74.47,4.2
Low Fat,NCZ41,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.0644,19.85,126.17,4.2
Low Fat,FDA43,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.0646,10.90,196.68,4.2
Low Fat,NCO18,Household,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0247,13.15,176.87,4.2
Low Fat,FDZ33,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.1074,10.20,147.61,4.2
Low Fat,NCY05,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0550,13.50,35.29,4.2
Low Fat,FDO34,Snack Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.0501,17.70,165.98,4.2
Low Fat,FDX20,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0426,7.37,227.07,4.2
Low Fat,NCD19,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0000,8.93,53.26,4.2
Low Fat,FDZ12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1031,9.17,141.75,4.2
Low Fat,FDA23,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0473,9.80,102.80,4.2
Low Fat,FDO12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0550,15.75,194.35,4.2
Low Fat,FDH24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0215,20.70,156.63,4.2
Low Fat,FDW47,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0464,15.00,121.54,4.2
Low Fat,FDW25,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0375,5.18,83.42,4.2
Low Fat,FDC38,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1227,15.70,132.29,4.2
Low Fat,FDB15,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1370,10.90,263.76,4.2
Low Fat,DRC27,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0582,13.80,246.98,4.2
Low Fat,FDS50,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0555,17.00,219.81,4.2
Low Fat,DRH51,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0974,17.60,89.39,4.2
Low Fat,FDB05,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0833,5.16,247.28,4.2
Low Fat,FDO16,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0151,5.48,83.03,4.2
Low Fat,FDZ04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0380,9.31,62.35,4.2
Low Fat,FDH16,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0526,10.50,88.58,4.2
Low Fat,FDL16,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1687,12.85,47.31,4.2
Low Fat,FDD08,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0354,8.30,36.25,4.2
Low Fat,FDN31,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0730,11.50,189.25,4.2
Low Fat,FDV43,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0770,16.00,46.21,4.2
Low Fat,FDI32,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1746,17.70,113.28,4.2
Low Fat,FDE08,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0494,18.20,146.47,4.2
Low Fat,DRK11,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0108,8.21,149.94,4.2
Low Fat,DRP47,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1408,15.75,252.94,4.2
Low Fat,NCM53,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0521,18.75,104.83,4.2
Low Fat,NCV54,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0332,11.10,119.61,4.2
Low Fat,NCG42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0413,19.20,130.13,4.2
Low Fat,FDV03,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0582,17.60,154.43,4.2
Low Fat,FDL15,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0467,17.85,152.67,4.2
Low Fat,FDL10,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0396,8.40,99.10,4.2
Low Fat,FDX09,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0654,9.00,175.44,4.2
Low Fat,FDI46,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0745,9.50,253.67,4.2
Low Fat,FDZ33,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1076,10.20,149.01,4.2
